Tokenizing,Formalisasi
"['ga', 'ada', 'perubahan', 'masih', 'lelet', 'aja', 'ni', 'xl', 'tutup', 'aja', 'perusahaan', 'xl', 'ga', 'guna']","['ga', 'ada', 'perubahan', 'masih', 'lambat', 'saja', 'ini', 'xl', 'tutup', 'saja', 'perusahaan', 'xl', 'ga', 'guna']"
"['buset', 'dah', 'sinyal', 'nya', 'tinggal', 'di', 'kota', 'berasa', 'tinggal', 'di', 'hutan', 'gak', 'ada', 'sinyal', 'jariangan', 'doang', 'ada', 'internet', 'nya', 'bobrok']","['buset', 'sudah', 'sinyal', 'nya', 'tinggal', 'di', 'kota', 'berasa', 'tinggal', 'di', 'hutan', 'gak', 'ada', 'sinyal', 'jaringan', 'doang', 'ada', 'internet', 'nya', 'bobrok']"
"['sekarang', 'xl', 'sinyalnya', 'sudah', 'bagus', 'aq', 'pake', 'kartu', 'xl', 'ini', 'sudah', 'lama', 'lebih', 'dari', 'th', 'kartu', 'lain', 'boleh', 'ganti', 'tapi', 'kartu', 'xl', 'ini', 'tetap', 'jadi', 'kartu', 'utamaku']","['sekarang', 'xl', 'sinyalnya', 'sudah', 'bagus', 'saya', 'pakai', 'kartu', 'xl', 'ini', 'sudah', 'lama', 'lebih', 'dari', 'th', 'kartu', 'lain', 'boleh', 'ganti', 'tapi', 'kartu', 'xl', 'ini', 'tetap', 'jadi', 'kartu', 'utamaku']"
"['saya', 'tdk', 'berlangganan', 'mood', 'musik', 'main', 'potong', 'aja']","['saya', 'tidak', 'berlangganan', 'suasana', 'musik', 'main', 'potong', 'saja']"
"['chat', 'di', 'maya', 'dah', 'kaya', 'org', 'bego', 'ga', 'prnah', 'di', 'respon', 'apk', 'ga', 'jelas']","['pesan', 'di', 'maya', 'sudah', 'kaya', 'orang', 'bego', 'ga', 'pernah', 'di', 'respon', 'aplikasi', 'ga', 'jelas']"
"['tolong', 'klo', 'cs', 'live', 'chat', 'itu', 'tanggepin', 'sinyal', 'daerah', 'saya', 'akhir', 'ini', 'naik', 'turun']","['tolong', 'kalau', 'cs', 'langsung', 'pesan', 'itu', 'tanggap', 'sinyal', 'daerah', 'saya', 'akhir', 'ini', 'naik', 'turun']"
"['makin', 'kesini', 'makin', 'gak', 'jelas', 'susah', 'untuk', 'komunikasi', 'langsung', 'dengan', 'cust', 'servicenya']","['makin', 'kesini', 'makin', 'gak', 'jelas', 'susah', 'untuk', 'komunikasi', 'langsung', 'dengan', 'konsumen', 'servis']"
"['toling', 'dong', 'teh', 'maya', 'bapak', 'ibu', 'jaringan', 'di', 'kampung', 'saya', 'makin', 'kesini', 'makin', 'jelek', 'jaringan', 'xl', 'liat', 'youtube', 'aja', 'lambat', 'jaringan', 'jarang', 'full', 'paling', 'bayak', 'tidak', 'pernah', 'full', 'telepon', 'seluler', 'putus', 'putus', 'tolong', 'di', 'perbaiki', 'seperti', 'semulaa', 'terima', 'kasihh']","['tolong', 'dong', 'kakak perempuan', 'maya', 'bapak', 'ibu', 'jaringan', 'di', 'kampung', 'saya', 'makin', 'kesini', 'makin', 'jelek', 'jaringan', 'xl', 'lihat', 'youtube', 'saja', 'lambat', 'jaringan', 'jarang', 'penuh', 'paling', 'bayak', 'tidak', 'pernah', 'penuh', 'telepon', 'seluler', 'putus', 'putus', 'tolong', 'di', 'perbaiki', 'seperti', 'semula', 'terima', 'kasih']"
"['ya', 'kenapa', 'sekarang', 'data', 'ga', 'bisa', 'di', 'timbun', 'masa', 'data', 'yang', 'kemarin', 'masih', 'ada', 'gb', 'pas', 'beli', 'lagi', 'kuota', 'malah', 'hilang', 'yang', 'gb', 'nya', 'ga', 'mau', 'rugi', 'ya']","['iya', 'kenapa', 'sekarang', 'data', 'ga', 'bisa', 'di', 'timbun', 'masa', 'data', 'yang', 'kemarin', 'masih', 'ada', 'gb', 'pas', 'beli', 'lagi', 'kuota', 'bahkan', 'hilang', 'yang', 'gb', 'nya', 'ga', 'mau', 'rugi', 'iya']"
"['katany', 'unlimetid', 'turbo', 'ketika', 'kuota', 'utama', 'habis', 'trus', 'yg', 'unlimited', 'nya', 'kok', 'jadi', 'loading', 'trus', 'klau', 'dlu', 'lancar', 'bagus', 'skrng', 'jadi', 'loading', 'trus', 'gk', 'lancar', 'tolong', 'perbaiki']","['kata', 'unlimited', 'turbo', 'ketika', 'kuota', 'utama', 'habis', 'terus', 'yang', 'unlimited', 'nya', 'kok', 'jadi', 'loading', 'terus', 'kalau', 'dulu', 'lancar', 'bagus', 'sekarang', 'jadi', 'loading', 'terus', 'gk', 'lancar', 'tolong', 'perbaiki']"
