Formalisasi,Stopword Removal
"['buset', 'sudah', 'sinyal', 'nya', 'tinggal', 'di', 'kota', 'berasa', 'tinggal', 'di', 'hutan', 'gak', 'ada', 'sinyal', 'jaringan', 'doang', 'ada', 'internet', 'nya', 'bobrok']","['buset', 'sinyal', 'nya', 'tinggal', 'kota', 'berasa', 'tinggal', 'hutan', 'gak', 'sinyal', 'jaringan', 'doang', 'internet', 'nya', 'bobrok']"
"['sekarang', 'xl', 'sinyalnya', 'sudah', 'bagus', 'saya', 'pakai', 'kartu', 'xl', 'ini', 'sudah', 'lama', 'lebih', 'dari', 'th', 'kartu', 'lain', 'boleh', 'ganti', 'tapi', 'kartu', 'xl', 'ini', 'tetap', 'jadi', 'kartu', 'utamaku']","['xl', 'sinyalnya', 'bagus', 'pakai', 'kartu', 'xl', 'th', 'kartu', 'ganti', 'kartu', 'xl', 'kartu', 'utamaku']"
"['saya', 'tidak', 'berlangganan', 'suasana', 'musik', 'main', 'potong', 'saja']","['tidak', 'berlangganan', 'suasana', 'musik', 'main', 'potong']"
"['pesan', 'di', 'maya', 'sudah', 'kaya', 'orang', 'bego', 'ga', 'pernah', 'di', 'respon', 'aplikasi', 'ga', 'jelas']","['pesan', 'maya', 'kaya', 'orang', 'bego', 'ga', 'respon', 'aplikasi', 'ga']"
"['tolong', 'kalau', 'cs', 'langsung', 'pesan', 'itu', 'tanggap', 'sinyal', 'daerah', 'saya', 'akhir', 'ini', 'naik', 'turun']","['tolong', 'cs', 'langsung', 'pesan', 'tanggap', 'sinyal', 'daerah', 'turun']"
"['makin', 'kesini', 'makin', 'gak', 'jelas', 'susah', 'untuk', 'komunikasi', 'langsung', 'dengan', 'konsumen', 'servis']","['kesini', 'gak', 'susah', 'komunikasi', 'langsung', 'konsumen', 'servis']"
"['tolong', 'dong', 'kakak perempuan', 'maya', 'bapak', 'ibu', 'jaringan', 'di', 'kampung', 'saya', 'makin', 'kesini', 'makin', 'jelek', 'jaringan', 'xl', 'lihat', 'youtube', 'saja', 'lambat', 'jaringan', 'jarang', 'penuh', 'paling', 'bayak', 'tidak', 'pernah', 'penuh', 'telepon', 'seluler', 'putus', 'putus', 'tolong', 'di', 'perbaiki', 'seperti', 'semula', 'terima', 'kasih']","['tolong', 'kakak perempuan', 'maya', 'jaringan', 'kampung', 'kesini', 'jelek', 'jaringan', 'xl', 'lihat', 'youtube', 'lambat', 'jaringan', 'jarang', 'penuh', 'bayak', 'tidak', 'penuh', 'telepon', 'seluler', 'putus', 'putus', 'tolong', 'perbaiki', 'terima', 'kasih']"
"['iya', 'kenapa', 'sekarang', 'data', 'ga', 'bisa', 'di', 'timbun', 'masa', 'data', 'yang', 'kemarin', 'masih', 'ada', 'gb', 'pas', 'beli', 'lagi', 'kuota', 'bahkan', 'hilang', 'yang', 'gb', 'nya', 'ga', 'mau', 'rugi', 'iya']","['iya', 'data', 'ga', 'timbun', 'data', 'kemarin', 'pas', 'beli', 'kuota', 'hilang', 'nya', 'ga', 'rugi', 'iya']"
"['kata', 'unlimited', 'turbo', 'ketika', 'kuota', 'utama', 'habis', 'terus', 'yang', 'unlimited', 'nya', 'kok', 'jadi', 'loading', 'terus', 'kalau', 'dulu', 'lancar', 'bagus', 'sekarang', 'jadi', 'loading', 'terus', 'gk', 'lancar', 'tolong', 'perbaiki']","['unlimited', 'turbo', 'kuota', 'utama', 'habis', 'unlimited', 'nya', 'loading', 'lancar', 'bagus', 'loading', 'gk', 'lancar', 'tolong', 'perbaiki']"
"['xl', 'kenapa', 'seperti', 'gini', 'sekarang', 'males', 'saya', 'jadinya', 'sia', 'uang', 'saya', 'kuota', 'saya', 'tidak', 'bisa', 'apa', 'sedang apa', 'dahlah']","['xl', 'gini', 'males', 'sia', 'uang', 'kuota', 'tidak', 'sedang apa', 'dahlah']"
