Stopword Removal,Stemming
"['aplikasi', 'berjalan', 'cuman', 'tingkatkan', 'kualitas', 'app', 'nya', 'jangan', 'log', 'masuk', 'transaksi', 'mengalami', 'gangguan']",aplikasi jalan cuman tingkat kualitas app nya jangan log masuk transaksi alami ganggu
"['heran', 'sinyal', 'xl', 'kadang', 'turun', 'susah', 'yaa', 'sinyal', 'xl', 'gak', 'sinyal', 'muncul', 'layar', 'seluler']",heran sinyal xl kadang turun susah yaa sinyal xl gak sinyal muncul layar seluler
"['alhamdulilah', 'pelayanan', 'membaik', 'transaksi', 'pembelian', 'aplikasi', 'myxl', 'tingkatkan', 'pelayanan']",alhamdulilah layan baik transaksi beli aplikasi myxl tingkat layan
"['tolong', 'aplikasi', 'nya', 'perbaiki', 'lag', 'transaksi', 'cek', 'data', 'semoga', 'perbaiki', 'pengguna', 'puas']",tolong aplikasi nya baik lag transaksi cek data moga baik guna puas
"['terima kasih', 'admin', 'aplikasi', 'membantu', 'konsumen', 'kartu', 'xl']",terima kasih admin aplikasi bantu konsumen kartu xl
"['terima', 'kasih', 'xl', 'promo', 'mantap', 'semoga', 'kedepannya', 'xl', 'promo', 'konsumen']",terima kasih xl promo mantap moga depan xl promo konsumen
"['seluler', 'diam', 'gak', 'disentuh', 'ber', 'jam', 'jam', 'muncul', 'menikmati', 'internet', 'tarif', 'normal', 'rupiah', 'ribu', 'mb', 'youtube', 'kuota', 'pilih', 'paket', 'xtra', 'kombo', '*', 'data', 'wifi', 'tidak', 'aktif', 'pulsa', 'berkurang', 'namanya', 'pencurian', 'pulsa', 'coba', 'dikali', 'konsumen', 'perusahaan', 'berkelakuan', 'kotor']",seluler diam gak sentuh ber jam jam muncul nikmat internet tarif normal rupiah ribu mb youtube kuota pilih paket xtra kombo  data wifi tidak aktif pulsa kurang nama curi pulsa coba kali konsumen usaha laku kotor
"['paket', 'youtube', 'unlimited', 'diaktifin', 'malam', 'pagi', 'habis', 'gila', 'xl', 'males', 'guw', 'make', 'xl', 'pembohong', 'buang', 'xl', 'anjing']",paket youtube unlimited diaktifin malam pagi habis gila xl males guw make xl bohong buang xl anjing
"['sinyal', 'tolong', 'perbaiki', 'iya', 'kemarin', 'kesel', 'banget', 'sinyal', 'gc']",sinyal tolong baik iya kemarin kesel banget sinyal gc
"['aplikasinya', 'fitur', 'benefit', 'kunci', 'pulsa', 'bonus', 'sukses', 'myxl']",aplikasi fitur benefit kunci pulsa bonus sukses myxl
"['kasih', 'bintang', 'bukan', 'maya', 'jaringannya', 'xl', 'pribadi', 'bantu', 'pertahankan', 'kualitas', 'jaringan', 'internet', 'ok']",kasih bintang bukan maya jaring xl pribadi bantu tahan kualitas jaring internet ok
"['bilang', 'jelek', 'bingung', 'bilang', 'bagus', 'tidak', 'layak', 'sosial media', 'lancar', 'main', 'langsung', 'lag', 'sinyal', 'hilang']",bilang jelek bingung bilang bagus tidak layak sosial media lancar main langsung lag sinyal hilang
